source_id,target_id,relationship_type
celltype:HCT116,variant:CTNNB1_SER45,HAS_VARIANT
gene:AXIN1,protein:AXIN1,ENCODES
gene:AXIN2,protein:AXIN2,ENCODES
gene:CK1,protein:CK1,ENCODES
gene:CTNNB1,protein:CTNNB1,ENCODES
gene:CTNNB1,variant:CTNNB1_SER45,HAS_VARIANT
gene:G3BP1,protein:G3BP1,ENCODES
gene:GSK3B,protein:GSK3B,ENCODES
gene:KIT,protein:KIT,ENCODES
gene:LINC00265,disease:COLORECTAL_CANCER,ASSOCIATED_WITH
gene:LINC00265,gene:ZMIZ2,ACTIVATES
gene:LINC00265,process:TUMORIGENESIS,PROMOTES
gene:RUNX1,protein:RUNX1,ENCODES
gene:USP7,protein:USP7,ENCODES
gene:ZIC2,protein:ZIC2,ENCODES
gene:ZMIZ2,protein:ZMIZ2,ENCODES
pathway:CTNNB1_SIGNALING,process:CELL_PROLIFERATION,PROMOTES
pathway:UBIQUITIN_PROTEASOME,process:PROTEIN_DEGRADATION,PARTICIPATES_IN
pathway:WNT_CTNNB1,process:ADIPOCYTE_DIFFERENTIATION,PROMOTES
pathway:WNT_CTNNB1,process:EMT,PROMOTES
pathway:WNT_CTNNB1,process:METASTASIS,PROMOTES
pathway:WNT_CTNNB1,process:OSTEOBLAST_DIFFERENTIATION,PROMOTES
pathway:WNT_CTNNB1,protein:RUNX1,ACTIVATES
process:CELL_PROLIFERATION,disease:BREAST_CANCER,ASSOCIATED_WITH
process:DEUBIQUITINATION,protein:AXIN1,STABILIZES
process:DEUBIQUITINATION,protein:CTNNB1,STABILIZES
process:EMT,disease:COLORECTAL_CANCER,ASSOCIATED_WITH
process:METASTASIS,disease:COLORECTAL_CANCER,ASSOCIATED_WITH
process:NUCLEAR_TRANSLOCATION,protein:CTNNB1,PARTICIPATES_IN
process:UBIQUITINATION,protein:AXIN1,ASSOCIATED_WITH
protein:AXIN1,protein_complex:CTNNB1_DESTRUCTION_COMPLEX,PARTICIPATES_IN
protein:CK1,protein:CTNNB1,PHOSPHORYLATES
protein:CTNNB1,process:TUMORIGENESIS,PROMOTES
protein:G3BP1,disease:BREAST_CANCER,ASSOCIATED_WITH
protein:G3BP1,pathway:CTNNB1_SIGNALING,ACTIVATES
protein:G3BP1,protein:CTNNB1,STABILIZES
protein:G3BP1,protein:GSK3B,INHIBITS
protein:G3BP1,protein:GSK3B,INTERACTS_WITH
protein:GSK3B,process:PROTEIN_DEGRADATION,PROMOTES
protein:GSK3B,protein:CTNNB1,PHOSPHORYLATES
protein:RUNX1,disease:COLORECTAL_CANCER,ASSOCIATED_WITH
protein:RUNX1,gene:KIT,ACTIVATES
protein:RUNX1,pathway:WNT_CTNNB1,ACTIVATES
protein:RUNX1,process:EMT,PROMOTES
protein:RUNX1,process:METASTASIS,PROMOTES
protein:RUNX1,protein:CTNNB1,INTERACTS_WITH
protein:USP7,pathway:WNT_CTNNB1,INHIBITS
protein:USP7,process:DEUBIQUITINATION,PARTICIPATES_IN
protein:USP7,protein:AXIN1,INTERACTS_WITH
protein:USP7,protein:AXIN1,STABILIZES
protein:USP7,protein:CTNNB1,INTERACTS_WITH
protein:USP7,protein:CTNNB1,STABILIZES
protein:ZIC2,disease:COLON_CANCER,ASSOCIATED_WITH
protein:ZIC2,gene:AXIN2,INHIBITS
protein:ZIC2,pathway:WNT_CTNNB1,ACTIVATES
protein:ZIC2,process:APOPTOSIS,SUPPRESSES
protein:ZIC2,process:CELL_GROWTH,PROMOTES
protein:ZIC2,process:NUCLEAR_TRANSLOCATION,PROMOTES
protein:ZIC2,process:TUMOR_SPHERE_FORMATION,PROMOTES
protein:ZIC2,process:XENOGRAFT_TUMOR_FORMATION,PROMOTES
protein:ZIC2,protein:CTNNB1,INTERACTS_WITH
protein:ZMIZ2,disease:COLORECTAL_CANCER,ASSOCIATED_WITH
protein:ZMIZ2,process:TUMORIGENESIS,PROMOTES
protein:ZMIZ2,protein:USP7,INTERACTS_WITH
variant:CTNNB1_SER45,process:PROTEIN_DEGRADATION,INHIBITS
